Number;Type;Score;Turns;HasWon;Runtime
3147;AI;20408;955;true;129408
3148;RND;624;102;false;7
3149;AI;16260;959;false;129795
3150;RND;1036;125;false;8
3151;AI;20192;953;true;134670
3152;RND;2384;244;false;7
3153;AI;20560;987;true;134206
3154;RND;584;96;false;1
3155;AI;20240;964;true;137226
3156;RND;652;110;false;8
3157;AI;20208;945;true;132417
3158;RND;584;100;false;2
3159;AI;20304;970;true;138354
3160;RND;1032;129;false;5
3161;AI;21224;1036;true;138337
3162;RND;492;85;false;6
3163;AI;20292;963;true;135829
3164;RND;548;95;false;5
3165;AI;20260;956;true;134867
3166;RND;764;113;false;11
3167;AI;20316;967;true;133939
3168;RND;500;94;false;5
3169;AI;20464;975;true;134666
3170;RND;640;106;false;2
3171;AI;15500;911;false;123287
3172;RND;956;127;false;3
3173;AI;20236;958;true;133828
3174;RND;584;99;false;4
3175;AI;20180;951;true;132934
3176;RND;1240;142;false;2
3177;AI;16536;992;false;135395
3178;RND;572;95;false;2
3179;AI;20720;989;true;136140
3180;RND;3080;296;false;22
3181;AI;20528;975;true;134192
3182;RND;2220;215;false;13
3183;AI;20168;940;true;129129
3184;RND;728;104;false;19
3185;AI;20236;947;true;134126
3186;RND;604;96;false;6
3187;AI;20156;940;true;131405
3188;RND;676;107;false;14
3189;AI;20236;957;true;129400
3190;RND;880;126;false;4
3191;AI;20468;975;true;137336
3192;RND;1256;136;false;6
3193;AI;20348;977;true;130372
3194;RND;1344;178;false;18
3195;AI;20928;1005;true;141814
3196;RND;1352;164;false;7
3197;AI;20236;959;true;133894
3198;RND;1112;139;false;6
3199;AI;20212;952;true;134960
3200;RND;1256;148;false;6
3201;AI;20552;994;true;135158
3202;RND;568;89;false;5
3203;AI;20236;952;true;130465
3204;RND;2032;242;false;3
3205;AI;20472;979;true;134505
3206;RND;508;84;false;5
3207;AI;20504;978;true;134990
3208;RND;1276;165;false;7
3209;AI;20228;958;true;130785
3210;RND;1276;148;false;7
3211;AI;20176;942;true;131058
3212;RND;1340;165;false;4
3213;AI;20240;946;true;133166
3214;RND;648;96;false;5
3215;AI;20932;1011;true;142648
3216;RND;672;103;false;12
3217;AI;15568;910;false;122526
3218;RND;1000;116;false;2
3219;AI;20428;984;true;134608
3220;RND;608;95;false;2
3221;AI;20160;941;true;131630
3222;RND;1424;168;false;3
3223;AI;16144;945;false;130404
3224;RND;928;128;false;2
3225;AI;20960;1016;true;137632
3226;RND;2188;205;false;4
3227;AI;20276;960;true;133079
3228;RND;1460;188;false;6
3229;AI;20336;960;true;133065
3230;RND;640;97;false;5
3231;AI;20524;987;true;137308
3232;RND;460;92;false;3
3233;AI;20496;981;true;138635
3234;RND;1500;175;false;3
3235;AI;20160;939;true;128792
3236;RND;856;124;false;8
3237;AI;20136;941;true;129151
3238;RND;1324;159;false;6
3239;AI;20276;960;true;124629
3240;RND;824;110;false;5
3241;AI;20660;1006;true;138264
3242;RND;980;132;false;24
3243;AI;20452;967;true;136570
3244;RND;1148;148;false;20
3245;AI;21104;1038;true;140893
3246;RND;588;104;false;18
3247;AI;20348;969;true;132159
3248;RND;656;107;false;17
3249;AI;20324;968;true;132616
3250;RND;1036;131;false;6
3251;AI;15964;947;false;129142
3252;RND;704;113;false;7
3253;AI;20596;989;true;138083
3254;RND;732;107;false;5
3255;AI;20676;1009;true;137062
3256;RND;2340;258;false;8
3257;AI;20368;973;true;130743
3258;RND;1056;132;false;21
3259;AI;20264;957;true;136922
3260;RND;1060;129;false;5
3261;AI;20488;981;true;129799
3262;RND;972;145;false;19
3263;AI;20436;964;true;134069
3264;RND;1476;173;false;3
3265;AI;20472;974;true;134316
3266;RND;812;114;false;5
3267;AI;20140;938;true;133486
3268;RND;716;109;false;1
3269;AI;20308;968;true;137546
3270;RND;2068;197;false;23
3271;AI;20256;955;true;133427
3272;RND;752;106;false;5
3273;AI;20176;946;true;128069
3274;RND;524;86;false;1
3275;AI;20284;963;true;132899
3276;RND;1396;190;false;29
3277;AI;20864;1028;true;140639
3278;RND;656;102;false;3
3279;AI;20316;961;true;140900
3280;RND;1096;138;false;3
3281;AI;20396;956;true;135735
3282;RND;1140;142;false;6
3283;AI;20460;972;true;134457
3284;RND;504;77;false;2
3285;AI;20248;953;true;132442
3286;RND;488;78;false;5
3287;AI;20332;972;true;140044
3288;RND;796;116;false;6
3289;AI;14588;890;false;120269
3290;RND;1008;126;false;2
3291;AI;20520;985;true;133076
3292;RND;772;113;false;11
3293;AI;20248;956;true;134993
3294;RND;1324;153;false;3
3295;AI;20916;1005;true;130731
3296;RND;1396;172;false;24
3297;AI;20528;988;true;133078
3298;RND;972;129;false;2
3299;AI;20176;949;true;134654
3300;RND;1476;185;false;2
3301;AI;20460;969;true;131590
3302;RND;996;119;false;9
3303;AI;16468;960;false;130735
3304;RND;604;94;false;1
3305;AI;20212;955;true;132841
3306;RND;548;107;false;20
3307;AI;20500;980;true;134641
3308;RND;1500;173;false;14
3309;AI;20212;959;true;129376
3310;RND;1328;172;false;8
3311;AI;20488;976;true;133476
3312;RND;728;109;false;2
3313;AI;20488;977;true;132890
3314;RND;1156;139;false;2
3315;AI;16772;1009;false;140261
3316;RND;2080;199;false;5
3317;AI;20304;963;true;137460
3318;RND;1744;188;false;3
3319;AI;20900;1004;true;138086
3320;RND;652;106;false;5
3321;AI;20680;1005;true;140948
3322;RND;1348;171;false;6
3323;AI;20336;971;true;137015
3324;RND;1392;166;false;6
3325;AI;20276;970;true;133599
3326;RND;1536;195;false;6
3327;AI;20200;954;true;132864
3328;RND;1280;152;false;12
3329;AI;16384;963;false;129339
3330;RND;544;86;false;2
3331;AI;21240;1040;true;139607
3332;RND;600;99;false;19
3333;AI;20276;961;true;128702
3334;RND;2280;219;false;20
3335;AI;16336;974;false;128966
3336;RND;404;70;false;1
3337;AI;20344;975;true;134819
3338;RND;1156;140;false;18
3339;AI;20328;969;true;131626
3340;RND;636;108;false;8
3341;AI;20184;950;true;131824
3342;RND;684;107;false;11
3343;AI;20120;936;true;133843
3344;RND;608;101;false;1
3345;AI;20228;957;true;133160
3346;RND;856;130;false;15
3347;AI;20436;968;true;131704
3348;RND;912;129;false;20
3349;AI;20512;982;true;140218
3350;RND;1084;134;false;3
3351;AI;16360;964;false;131933
3352;RND;1412;175;false;3
3353;AI;16524;990;false;129405
3354;RND;1116;143;false;4
3355;AI;16596;976;false;131622
3356;RND;628;97;false;12
3357;AI;20276;957;true;128692
3358;RND;608;103;false;3
3359;AI;20512;984;true;140086
3360;RND;1040;137;false;13
3361;AI;17096;1021;false;137737
3362;RND;784;111;false;2
3363;AI;20160;950;true;135853
3364;RND;580;86;false;11
3365;AI;20604;992;true;138385
3366;RND;428;79;false;1
3367;AI;20360;972;true;135436
3368;RND;1396;178;false;3
3369;AI;20208;954;true;135059
3370;RND;1316;150;false;6
3371;AI;20404;972;true;126452
3372;RND;1116;142;false;2
3373;AI;20312;961;true;136726
3374;RND;1284;152;false;6
3375;AI;20208;952;true;137506
3376;RND;1324;152;false;2
3377;AI;20300;966;true;132702
3378;RND;1548;198;false;10
3379;AI;20500;979;true;140008
3380;RND;1084;132;false;13
3381;AI;20268;969;true;132410
3382;RND;2160;209;false;8
3383;AI;20464;974;true;133963
3384;RND;1244;155;false;15
3385;AI;20972;1008;true;138910
3386;RND;532;92;false;2
3387;AI;20176;950;true;133550
3388;RND;700;124;false;9
3389;AI;20296;963;true;132041
3390;RND;480;80;false;2
3391;AI;20156;944;true;127724
3392;RND;1372;161;false;4
3393;AI;20184;951;true;134707
3394;RND;1380;168;false;15
3395;AI;20552;984;true;130151
3396;RND;1724;199;false;25
3397;AI;16484;980;false;137198
3398;RND;548;97;false;2
3399;AI;20236;961;true;132887
3400;RND;1364;163;false;24
3401;AI;20324;970;true;135346
3402;RND;1572;190;false;11
3403;AI;20288;967;true;135091
3404;RND;696;104;false;5
3405;AI;20628;998;true;135613
3406;RND;1360;159;false;10
3407;AI;20216;944;true;129455
3408;RND;1040;124;false;6
3409;AI;17120;1031;false;141053
3410;RND;1464;173;false;12
3411;AI;20132;936;true;126958
3412;RND;1268;168;false;10
3413;AI;20416;959;true;135065
3414;RND;980;143;false;6
3415;AI;18744;1133;false;145903
3416;RND;1096;136;false;4
3417;AI;20488;981;true;133400
3418;RND;588;90;false;36
3419;AI;20236;949;true;130568
3420;RND;680;107;false;5
3421;AI;20228;951;true;134519
3422;RND;700;107;false;8
