Date: Fri Apr 25 2014 07:33:08 GMT+0200 (CEST) ;Type: AI ;Guid: 4de50c2a-06b8-443f-912c-dacab8190494 ;Run: 24 ;Score: 20228 ;Turns: 960 ;WonStatus: true ;TimeTaken: 136473
Date: Fri Apr 25 2014 07:33:08 GMT+0200 (CEST) ;Type: RND ;Guid: fc18974d-f218-4a2b-8f3b-7f3a48c5cb17 ;Run: 25 ;Score: 852 ;Turns: 118 ;WonStatus: false ;TimeTaken: 26
Date: Fri Apr 25 2014 07:33:08 GMT+0200 (CEST) ;Type: AI ;Guid: 3bb6e6b6-dc77-4ef6-a3e3-8aef3d71fdd0 ;Run: 24 ;Score: 21092 ;Turns: 1035 ;WonStatus: true ;TimeTaken: 140014
Date: Fri Apr 25 2014 07:33:09 GMT+0200 (CEST) ;Type: RND ;Guid: 2d0575f9-722a-4a8e-bf97-0a9b551608e0 ;Run: 25 ;Score: 1076 ;Turns: 145 ;WonStatus: false ;TimeTaken: 33
Date: Fri Apr 25 2014 07:33:42 GMT+0200 (CEST) ;Type: AI ;Guid: 9cf955b4-8db9-44c4-9223-b2347b5197f6 ;Run: 24 ;Score: 20392 ;Turns: 975 ;WonStatus: true ;TimeTaken: 131595
Date: Fri Apr 25 2014 07:33:42 GMT+0200 (CEST) ;Type: RND ;Guid: b52a35e2-471c-465f-aec5-83fe8901eac5 ;Run: 25 ;Score: 1132 ;Turns: 132 ;WonStatus: false ;TimeTaken: 51
Date: Fri Apr 25 2014 07:34:37 GMT+0200 (CEST) ;Type: AI ;Guid: 1ada4a66-b05c-4c1e-9903-cc979b5dcbaa ;Run: 24 ;Score: 20472 ;Turns: 979 ;WonStatus: true ;TimeTaken: 137981
Date: Fri Apr 25 2014 07:34:37 GMT+0200 (CEST) ;Type: RND ;Guid: d82d28d1-2fc8-41c6-8e05-8e59645de292 ;Run: 25 ;Score: 2320 ;Turns: 226 ;WonStatus: false ;TimeTaken: 117
Date: Fri Apr 25 2014 07:35:24 GMT+0200 (CEST) ;Type: AI ;Guid: f0d420fe-a08e-4250-94c1-edd66364ee60 ;Run: 26 ;Score: 20152 ;Turns: 942 ;WonStatus: true ;TimeTaken: 135802
Date: Fri Apr 25 2014 07:35:24 GMT+0200 (CEST) ;Type: RND ;Guid: 704536fa-2866-4ae0-9d19-f0e85d35e39b ;Run: 27 ;Score: 660 ;Turns: 104 ;WonStatus: false ;TimeTaken: 26
Date: Fri Apr 25 2014 07:35:27 GMT+0200 (CEST) ;Type: AI ;Guid: 6ab91faa-0789-4433-a5e7-bef24ec0e62e ;Run: 26 ;Score: 20136 ;Turns: 941 ;WonStatus: true ;TimeTaken: 139377
Date: Fri Apr 25 2014 07:35:27 GMT+0200 (CEST) ;Type: RND ;Guid: 3d1b4809-9702-4b36-9e81-09b6bbed7904 ;Run: 27 ;Score: 448 ;Turns: 91 ;WonStatus: false ;TimeTaken: 36
Date: Fri Apr 25 2014 07:35:59 GMT+0200 (CEST) ;Type: AI ;Guid: e4056983-c961-4dcf-ab75-a23f84644519 ;Run: 26 ;Score: 20164 ;Turns: 945 ;WonStatus: true ;TimeTaken: 136196
Date: Fri Apr 25 2014 07:35:59 GMT+0200 (CEST) ;Type: RND ;Guid: 680e5eb7-2130-4c20-a3b8-342ecd13ef74 ;Run: 27 ;Score: 1324 ;Turns: 156 ;WonStatus: false ;TimeTaken: 51
